  Generating ../brightmaps.pk3
  Adding brightmaps/doom/BON2B0.png                5.1% [    94/    99] Deflate
  Adding brightmaps/doom/BOSSD3D7.png              4.0% [   120/   125] Deflate
  Adding brightmaps/doom/BOSSD4D6.png              4.7% [   101/   106] Deflate
  Adding brightmaps/doom/BOSSD5.png                3.6% [   134/   139] Deflate
  Adding brightmaps/doom/BOSSE1.png                0.0% [   357/   357] Stored
  Adding brightmaps/doom/BOSSE2.png                1.0% [   194/   196] Deflate
  Adding brightmaps/doom/BOSSE3.png                0.0% [   233/   233] Stored
  Adding brightmaps/doom/BOSSE4.png                0.0% [   294/   294] Stored
  Adding brightmaps/doom/BOSSE5.png                0.0% [   291/   291] Stored
  Adding brightmaps/doom/BOSSE6.png                1.5% [   263/   267] Deflate
  Adding brightmaps/doom/BOSSE7.png                0.0% [   305/   305] Stored
  Adding brightmaps/doom/BOSSE8.png                0.0% [   299/   299] Stored
  Adding brightmaps/doom/BOSSF1.png                0.0% [   375/   375] Stored
  Adding brightmaps/doom/BOSSF2.png                0.0% [   398/   398] Stored
  Adding brightmaps/doom/BOSSF3.png                0.0% [   217/   217] Stored
  Adding brightmaps/doom/BOSSF4.png                0.0% [   216/   216] Stored
  Adding brightmaps/doom/BOSSF5.png                0.0% [   270/   270] Stored
  Adding brightmaps/doom/BOSSF6.png                0.0% [   268/   268] Stored
  Adding brightmaps/doom/BOSSF7.png                0.0% [   337/   337] Stored
  Adding brightmaps/doom/BOSSF8.png                0.0% [   366/   366] Stored
  Adding brightmaps/doom/BOSSG1.png                0.0% [   330/   330] Stored
  Adding brightmaps/doom/BOSSG2.png                0.0% [   312/   312] Stored
  Adding brightmaps/doom/BOSSG3.png                0.0% [   313/   313] Stored
  Adding brightmaps/doom/BOSSG4.png                0.0% [   261/   261] Stored
  Adding brightmaps/doom/BOSSG5.png                0.0% [   198/   198] Stored
  Adding brightmaps/doom/BOSSG6.png                2.0% [   199/   203] Deflate
  Adding brightmaps/doom/BOSSG7.png                0.9% [   226/   228] Deflate
  Adding brightmaps/doom/BOSSG8.png                0.0% [   243/   243] Stored
  Adding brightmaps/doom/BOSSH1.png                0.0% [   167/   167] Stored
  Adding brightmaps/doom/BOSSH2.png                0.0% [   194/   194] Stored
  Adding brightmaps/doom/BOSSH3.png                1.7% [   170/   173] Deflate
  Adding brightmaps/doom/BOSSH4.png                3.3% [   116/   120] Deflate
  Adding brightmaps/doom/BOSSH5.png                4.0% [   121/   126] Deflate
  Adding brightmaps/doom/BOSSH6.png                4.0% [   120/   125] Deflate
  Adding brightmaps/doom/BOSSH7.png                1.9% [   155/   158] Deflate
  Adding brightmaps/doom/BOSSH8.png                2.5% [   157/   161] Deflate
  Adding brightmaps/doom/BOSSI0.png                3.5% [   139/   144] Deflate
  Adding brightmaps/doom/BOSSJ0.png                0.0% [   150/   150] Stored
  Adding brightmaps/doom/BOSSK0.png                2.9% [   133/   137] Deflate
  Adding brightmaps/doom/BOSSL0.png                4.6% [   124/   130] Deflate
  Adding brightmaps/doom/BOSSM0.png                5.6% [   101/   107] Deflate
  Adding brightmaps/doom/BSPIG1.png                3.8% [   126/   131] Deflate
  Adding brightmaps/doom/BSPIG2G8.png              4.9% [    97/   102] Deflate
  Adding brightmaps/doom/BSPIH1.png                1.3% [   155/   157] Deflate
  Adding brightmaps/doom/BSPIH2H8.png              2.4% [   164/   168] Deflate
  Adding brightmaps/doom/BSPIH3H7.png              4.5% [   107/   112] Deflate
  Adding brightmaps/doom/BSPIH4H6.png              4.2% [   113/   118] Deflate
  Adding brightmaps/doom/BSPIH5.png                4.1% [   116/   121] Deflate
  Adding brightmaps/doom/CELLA0.png                5.3% [    89/    94] Deflate
  Adding brightmaps/doom/CELPA0.png                5.0% [    95/   100] Deflate
  Adding brightmaps/doom/CPOSE1.png                4.1% [   116/   121] Deflate
  Adding brightmaps/doom/CPOSE2.png                2.2% [   134/   137] Deflate
  Adding brightmaps/doom/CPOSE3.png                1.4% [   144/   146] Deflate
  Adding brightmaps/doom/CPOSE5.png                4.3% [   111/   116] Deflate
  Adding brightmaps/doom/CPOSE6.png                3.4% [   112/   116] Deflate
  Adding brightmaps/doom/CPOSE7.png                2.2% [   135/   138] Deflate
  Adding brightmaps/doom/CPOSE8.png                2.1% [   140/   143] Deflate
  Adding brightmaps/doom/CPOSF1.png                0.0% [   467/   467] Stored
  Adding brightmaps/doom/CPOSF2.png                0.0% [   488/   488] Stored
  Adding brightmaps/doom/CPOSF3.png                0.0% [   400/   400] Stored
  Adding brightmaps/doom/CPOSF4.png                1.1% [   176/   178] Deflate
  Adding brightmaps/doom/CPOSF5.png                2.8% [   139/   143] Deflate
  Adding brightmaps/doom/CPOSF6.png                0.0% [   214/   214] Stored
  Adding brightmaps/doom/CPOSF7.png                0.0% [   341/   341] Stored
  Adding brightmaps/doom/CPOSF8.png                0.0% [   352/   352] Stored
  Adding brightmaps/doom/CYBRF1.png                0.0% [  1895/  1895] Stored
  Adding brightmaps/doom/CYBRF2.png                0.0% [  1976/  1976] Stored
  Adding brightmaps/doom/CYBRF3.png                0.0% [  1830/  1830] Stored
  Adding brightmaps/doom/CYBRF4.png                0.0% [  1540/  1540] Stored
  Adding brightmaps/doom/CYBRF5.png                0.0% [  1014/  1014] Stored
  Adding brightmaps/doom/CYBRF6.png                0.0% [   852/   852] Stored
  Adding brightmaps/doom/CYBRF7.png                0.0% [  1597/  1597] Stored
  Adding brightmaps/doom/CYBRF8.png                0.0% [  2259/  2259] Stored
  Adding brightmaps/doom/CYBRJ0.png                0.0% [   292/   292] Stored
  Adding brightmaps/doom/CYBRK0.png                0.0% [   420/   420] Stored
  Adding brightmaps/doom/CYBRL0.png                0.0% [   576/   576] Stored
  Adding brightmaps/doom/CYBRM0.png                0.0% [  1236/  1236] Stored
  Adding brightmaps/doom/CYBRN0.png                0.0% [  1606/  1606] Stored
  Adding brightmaps/doom/CYBRO0.png                0.0% [  1167/  1167] Stored
  Adding brightmaps/doom/FATTG1.png                8.1% [   102/   111] Deflate
  Adding brightmaps/doom/FATTG2G8.png              9.1% [   100/   110] Deflate
  Adding brightmaps/doom/FATTH1.png                0.0% [   266/   266] Stored
  Adding brightmaps/doom/FATTH2H8.png              0.0% [   184/   184] Stored
  Adding brightmaps/doom/FATTH3H7.png              0.0% [   182/   182] Stored
  Adding brightmaps/doom/FATTH4H6.png              2.9% [   136/   140] Deflate
  Adding brightmaps/doom/FATTH5.png                3.5% [   110/   114] Deflate
  Adding brightmaps/doom/FCANA0.png                0.0% [   350/   350] Stored
  Adding brightmaps/doom/FCANB0.png                0.0% [   326/   326] Stored
  Adding brightmaps/doom/FCANC0.png                0.0% [   315/   315] Stored
  Adding brightmaps/doom/HEADC1.png                1.1% [   184/   186] Deflate
  Adding brightmaps/doom/HEADC2C8.png              1.9% [   154/   157] Deflate
  Adding brightmaps/doom/HEADC3C7.png              3.9% [   122/   127] Deflate
  Adding brightmaps/doom/HEADD1.png                0.0% [   215/   215] Stored
  Adding brightmaps/doom/HEADD2D8.png              1.8% [   163/   166] Deflate
  Adding brightmaps/doom/HEADD3D7.png              1.9% [   156/   159] Deflate
  Adding brightmaps/doom/PAINF1.png                0.0% [   233/   233] Stored
  Adding brightmaps/doom/PAINF2F8.png              0.0% [   206/   206] Stored
  Adding brightmaps/doom/PAINF3F7.png              1.2% [   159/   161] Deflate
  Adding brightmaps/doom/PLAYF1.png                0.0% [   330/   330] Stored
  Adding brightmaps/doom/PLAYF2F8.png              0.0% [   367/   367] Stored
  Adding brightmaps/doom/PLAYF3F7.png              0.0% [   355/   355] Stored
  Adding brightmaps/doom/PLAYF4F6.png              0.0% [   286/   286] Stored
  Adding brightmaps/doom/PLAYF5.png                0.0% [   275/   275] Stored
  Adding brightmaps/doom/POSSE1.png                6.2% [    91/    97] Deflate
  Adding brightmaps/doom/POSSE2E8.png              6.2% [    91/    97] Deflate
  Adding brightmaps/doom/POSSE3E7.png              6.1% [    92/    98] Deflate
  Adding brightmaps/doom/POSSF1.png                0.0% [   215/   215] Stored
  Adding brightmaps/doom/POSSF2F8.png              0.0% [   232/   232] Stored
  Adding brightmaps/doom/POSSF3F7.png              1.0% [   200/   202] Deflate
  Adding brightmaps/doom/POSSF4F6.png              2.4% [   161/   165] Deflate
  Adding brightmaps/doom/POSSF5.png                3.9% [   122/   127] Deflate
  Adding brightmaps/doom/SKELJ1.png                2.0% [   150/   153] Deflate
  Adding brightmaps/doom/SKELJ2.png                1.4% [   139/   141] Deflate
  Adding brightmaps/doom/SKELJ3.png                3.3% [   118/   122] Deflate
  Adding brightmaps/doom/SKELJ4.png                2.5% [   119/   122] Deflate
  Adding brightmaps/doom/SKELJ5.png                3.2% [   122/   126] Deflate
  Adding brightmaps/doom/SKELJ6.png                3.3% [   118/   122] Deflate
  Adding brightmaps/doom/SKELJ7.png                4.3% [   112/   117] Deflate
  Adding brightmaps/doom/SKELJ8.png                2.1% [   138/   141] Deflate
  Adding brightmaps/doom/SMRTA0.png                0.8% [   238/   240] Deflate
  Adding brightmaps/doom/SMRTB0.png                0.0% [   248/   248] Stored
  Adding brightmaps/doom/SMRTC0.png                0.0% [   245/   245] Stored
  Adding brightmaps/doom/SMRTD0.png                0.0% [   250/   250] Stored
  Adding brightmaps/doom/SPIDG1.png                9.6% [   113/   125] Deflate
  Adding brightmaps/doom/SPIDG2G8.png             13.8% [   112/   130] Deflate
  Adding brightmaps/doom/SPIDH1.png                6.8% [   137/   147] Deflate
  Adding brightmaps/doom/SPIDH2H8.png              2.0% [   149/   152] Deflate
  Adding brightmaps/doom/SPIDH3H7.png             11.6% [   114/   129] Deflate
  Adding brightmaps/doom/SPIDL0.png                6.3% [   133/   142] Deflate
  Adding brightmaps/doom/SPIDM0.png                0.0% [   467/   467] Stored
  Adding brightmaps/doom/SPIDN0.png                0.0% [   535/   535] Stored
  Adding brightmaps/doom/SPIDO0.png                0.0% [   520/   520] Stored
  Adding brightmaps/doom/SPIDP0.png                0.0% [   804/   804] Stored
  Adding brightmaps/doom/SPIDQ0.png                0.0% [  1284/  1284] Stored
  Adding brightmaps/doom/SPIDR0.png                0.0% [  1762/  1762] Stored
  Adding brightmaps/doom/SPOSE1.png                6.2% [    91/    97] Deflate
  Adding brightmaps/doom/SPOSE2E8.png              6.2% [    91/    97] Deflate
  Adding brightmaps/doom/SPOSE3E7.png              7.2% [    90/    97] Deflate
  Adding brightmaps/doom/SPOSF1.png                0.0% [   272/   272] Stored
  Adding brightmaps/doom/SPOSF2F8.png              0.0% [   257/   257] Stored
  Adding brightmaps/doom/SPOSF3F7.png              0.0% [   266/   266] Stored
  Adding brightmaps/doom/SPOSF4F6.png              0.0% [   245/   245] Stored
  Adding brightmaps/doom/SPOSF5.png                2.6% [   151/   155] Deflate
  Adding brightmaps/doom/TREDA0.png                0.0% [   609/   609] Stored
  Adding brightmaps/doom/TREDB0.png                0.0% [   628/   628] Stored
  Adding brightmaps/doom/TREDC0.png                0.0% [   629/   629] Stored
  Adding brightmaps/doom/TREDD0.png                0.0% [   635/   635] Stored
  Adding brightmaps/doom/TbluB0.png                0.0% [   632/   632] Stored
  Adding brightmaps/doom/TbluC0.png                0.0% [   638/   638] Stored
  Adding brightmaps/doom/sswvg0.png                3.2% [   120/   124] Deflate
  Adding brightmaps/doom/vileg1.png                0.0% [   301/   301] Stored
  Adding brightmaps/doom/vileg2.png                2.7% [   359/   369] Deflate
  Adding brightmaps/doom/vileg3.png                0.0% [   343/   343] Stored
  Adding brightmaps/doom/vileg4.png                0.0% [   361/   361] Stored
  Adding brightmaps/doom/vileg5.png                0.0% [   313/   313] Stored
  Adding brightmaps/doom/vileg6.png                0.0% [   368/   368] Stored
  Adding brightmaps/doom/vileg7.png                0.0% [   343/   343] Stored
  Adding brightmaps/doom/vileg8.png                0.0% [   370/   370] Stored
  Adding brightmaps/doom/vileh1.png                0.0% [   859/   859] Stored
  Adding brightmaps/doom/vileh2.png                0.0% [   660/   660] Stored
  Adding brightmaps/doom/vileh3.png                0.0% [   703/   703] Stored
  Adding brightmaps/doom/vileh4.png                0.0% [   802/   802] Stored
  Adding brightmaps/doom/vileh5.png                0.0% [   787/   787] Stored
  Adding brightmaps/doom/vileh6.png                0.0% [   792/   792] Stored
  Adding brightmaps/doom/vileh7.png                0.0% [   931/   931] Stored
  Adding brightmaps/doom/vileh8.png                0.0% [  1142/  1142] Stored
  Adding brightmaps/doom/vilei1.png                0.0% [  1175/  1175] Stored
  Adding brightmaps/doom/vilei2.png                0.0% [  1185/  1185] Stored
  Adding brightmaps/doom/vilei3.png                0.0% [   917/   917] Stored
  Adding brightmaps/doom/vilei4.png                0.0% [  1099/  1099] Stored
  Adding brightmaps/doom/vilei5.png                0.0% [  1063/  1063] Stored
  Adding brightmaps/doom/vilei6.png                0.0% [   990/   990] Stored
  Adding brightmaps/doom/vilei7.png                0.0% [   937/   937] Stored
  Adding brightmaps/doom/vilei8.png                0.0% [  1031/  1031] Stored
  Adding brightmaps/doom/vilej1.png                0.0% [  1285/  1285] Stored
  Adding brightmaps/doom/vilej2.png                0.0% [  1051/  1051] Stored
  Adding brightmaps/doom/vilej3.png                0.0% [   898/   898] Stored
  Adding brightmaps/doom/vilej4.png                0.0% [   843/   843] Stored
  Adding brightmaps/doom/vilej5.png                0.0% [  1030/  1030] Stored
  Adding brightmaps/doom/vilej6.png                0.0% [   799/   799] Stored
  Adding brightmaps/doom/vilej7.png                0.0% [   870/   870] Stored
  Adding brightmaps/doom/vilej8.png                0.0% [  1061/  1061] Stored
  Adding brightmaps/doom/vilek1.png                0.0% [   754/   754] Stored
  Adding brightmaps/doom/vilek2.png                0.0% [   668/   668] Stored
  Adding brightmaps/doom/vilek3.png                0.0% [   589/   589] Stored
  Adding brightmaps/doom/vilek4.png                0.0% [   561/   561] Stored
  Adding brightmaps/doom/vilek5.png                0.0% [   632/   632] Stored
  Adding brightmaps/doom/vilek6.png                0.0% [   553/   553] Stored
  Adding brightmaps/doom/vilek7.png                0.0% [   674/   674] Stored
  Adding brightmaps/doom/vilek8.png                0.0% [   678/   678] Stored
  Adding brightmaps/doom/vilel1.png                0.0% [   668/   668] Stored
  Adding brightmaps/doom/vilel2.png                0.0% [   625/   625] Stored
  Adding brightmaps/doom/vilel3.png                0.0% [   577/   577] Stored
  Adding brightmaps/doom/vilel4.png                0.0% [   544/   544] Stored
  Adding brightmaps/doom/vilel5.png                0.0% [   611/   611] Stored
  Adding brightmaps/doom/vilel6.png                0.0% [   505/   505] Stored
  Adding brightmaps/doom/vilel7.png                0.0% [   629/   629] Stored
  Adding brightmaps/doom/vilel8.png                0.0% [   644/   644] Stored
  Adding brightmaps/doom/vilem1.png                0.0% [   683/   683] Stored
  Adding brightmaps/doom/vilem2.png                0.0% [   682/   682] Stored
  Adding brightmaps/doom/vilem3.png                0.0% [   583/   583] Stored
  Adding brightmaps/doom/vilem4.png                0.0% [   583/   583] Stored
  Adding brightmaps/doom/vilem5.png                0.0% [   636/   636] Stored
  Adding brightmaps/doom/vilem6.png                0.0% [   513/   513] Stored
  Adding brightmaps/doom/vilem7.png                0.0% [   621/   621] Stored
  Adding brightmaps/doom/vilem8.png                0.0% [   651/   651] Stored
  Adding brightmaps/doom/vilen1.png                0.0% [   896/   896] Stored
  Adding brightmaps/doom/vilen2.png                0.0% [   895/   895] Stored
  Adding brightmaps/doom/vilen3.png                0.0% [   829/   829] Stored
  Adding brightmaps/doom/vilen4.png                0.0% [   800/   800] Stored
  Adding brightmaps/doom/vilen5.png                0.0% [   556/   556] Stored
  Adding brightmaps/doom/vilen6.png                0.0% [   618/   618] Stored
  Adding brightmaps/doom/vilen7.png                0.0% [   799/   799] Stored
  Adding brightmaps/doom/vilen8.png                0.0% [   965/   965] Stored
  Adding brightmaps/doom/vileo1.png                0.0% [   881/   881] Stored
  Adding brightmaps/doom/vileo2.png                0.0% [   959/   959] Stored
  Adding brightmaps/doom/vileo3.png                0.0% [   890/   890] Stored
  Adding brightmaps/doom/vileo4.png                0.0% [   878/   878] Stored
  Adding brightmaps/doom/vileo5.png                0.0% [   577/   577] Stored
  Adding brightmaps/doom/vileo6.png                0.0% [   710/   710] Stored
  Adding brightmaps/doom/vileo7.png                0.0% [   901/   901] Stored
  Adding brightmaps/doom/vileo8.png                0.0% [  1061/  1061] Stored
  Adding brightmaps/doom/vilep1.png                0.0% [   932/   932] Stored
  Adding brightmaps/doom/vilep2.png                0.0% [   903/   903] Stored
  Adding brightmaps/doom/vilep3.png                0.0% [   947/   947] Stored
  Adding brightmaps/doom/vilep4.png                0.0% [   864/   864] Stored
  Adding brightmaps/doom/vilep5.png                0.0% [   676/   676] Stored
  Adding brightmaps/doom/vilep6.png                0.0% [   678/   678] Stored
  Adding brightmaps/doom/vilep7.png                0.0% [   898/   898] Stored
  Adding brightmaps/doom/vilep8.png                0.0% [  1027/  1027] Stored
  Adding brightmaps/heretic/BEASI1.png             3.3% [   119/   123] Deflate
  Adding brightmaps/heretic/BEASI2I8.png           3.4% [   112/   116] Deflate
  Adding brightmaps/heretic/BEASI3I7.png           3.2% [   121/   125] Deflate
  Adding brightmaps/heretic/CHDLA0.png             0.0% [   150/   150] Stored
  Adding brightmaps/heretic/CHDLB0.png             1.3% [   147/   149] Deflate
  Adding brightmaps/heretic/CHDLC0.png             1.4% [   146/   148] Deflate
  Adding brightmaps/heretic/CLNKI0.png             2.8% [   141/   145] Deflate
  Adding brightmaps/heretic/CLNKJ0.png             0.0% [   213/   213] Stored
  Adding brightmaps/heretic/CLNKK0.png             0.0% [   285/   285] Stored
  Adding brightmaps/heretic/CLNKL0.png             0.0% [   254/   254] Stored
  Adding brightmaps/heretic/CLNKM0.png             0.0% [   446/   446] Stored
  Adding brightmaps/heretic/CLNKN0.png             0.0% [   462/   462] Stored
  Adding brightmaps/heretic/IMPXD1.png             2.4% [   124/   127] Deflate
  Adding brightmaps/heretic/IMPXD2.png             3.1% [   124/   128] Deflate
  Adding brightmaps/heretic/IMPXD3.png             3.4% [   115/   119] Deflate
  Adding brightmaps/heretic/IMPXD4.png             5.6% [   101/   107] Deflate
  Adding brightmaps/heretic/IMPXD5.png             3.6% [   107/   111] Deflate
  Adding brightmaps/heretic/IMPXD6.png             3.2% [   120/   124] Deflate
  Adding brightmaps/heretic/IMPXD7.png             2.3% [   127/   130] Deflate
  Adding brightmaps/heretic/IMPXD8.png             2.2% [   134/   137] Deflate
  Adding brightmaps/heretic/IMPXE1.png             2.2% [   133/   136] Deflate
  Adding brightmaps/heretic/IMPXE2.png             3.8% [   127/   132] Deflate
  Adding brightmaps/heretic/IMPXE3.png             3.2% [   121/   125] Deflate
  Adding brightmaps/heretic/IMPXE4.png             3.4% [   113/   117] Deflate
  Adding brightmaps/heretic/IMPXE5.png             4.7% [   102/   107] Deflate
  Adding brightmaps/heretic/IMPXE6.png             3.1% [   127/   131] Deflate
  Adding brightmaps/heretic/IMPXE7.png             3.8% [   126/   131] Deflate
  Adding brightmaps/heretic/IMPXE8.png             2.2% [   135/   138] Deflate
  Adding brightmaps/heretic/IMPXF1.png             1.5% [   132/   134] Deflate
  Adding brightmaps/heretic/IMPXF2.png             2.3% [   128/   131] Deflate
  Adding brightmaps/heretic/IMPXF3.png             3.4% [   113/   117] Deflate
  Adding brightmaps/heretic/IMPXF4.png             3.3% [   119/   123] Deflate
  Adding brightmaps/heretic/IMPXF5.png             3.2% [   121/   125] Deflate
  Adding brightmaps/heretic/IMPXF6.png             4.2% [   115/   120] Deflate
  Adding brightmaps/heretic/IMPXF7.png             3.4% [   114/   118] Deflate
  Adding brightmaps/heretic/IMPXF8.png             3.2% [   122/   126] Deflate
  Adding brightmaps/heretic/LICHB1.png             2.0% [   147/   150] Deflate
  Adding brightmaps/heretic/LICHB2B8.png           1.9% [   157/   160] Deflate
  Adding brightmaps/heretic/LICHB3B7.png           3.1% [   125/   129] Deflate
  Adding brightmaps/heretic/LICHC0.png             0.0% [   276/   276] Stored
  Adding brightmaps/heretic/LICHD0.png             0.0% [   315/   315] Stored
  Adding brightmaps/heretic/LICHE0.png             0.0% [   631/   631] Stored
  Adding brightmaps/heretic/LICHF0.png             0.0% [   436/   436] Stored
  Adding brightmaps/heretic/LICHG0.png             0.0% [   525/   525] Stored
  Adding brightmaps/heretic/LICHH0.png             0.0% [   396/   396] Stored
  Adding brightmaps/heretic/PLAYF1.png             4.0% [   121/   126] Deflate
  Adding brightmaps/heretic/PLAYF2F8.png           3.2% [   122/   126] Deflate
  Adding brightmaps/heretic/PLAYF3F7.png           2.2% [   136/   139] Deflate
  Adding brightmaps/heretic/PLAYF4F6.png           1.5% [   133/   135] Deflate
  Adding brightmaps/heretic/SDTHA0.png             0.0% [   291/   291] Stored
  Adding brightmaps/heretic/SDTHB0.png             0.0% [   462/   462] Stored
  Adding brightmaps/heretic/SDTHC0.png             0.0% [   608/   608] Stored
  Adding brightmaps/heretic/SDTHD0.png             0.0% [   989/   989] Stored
  Adding brightmaps/heretic/SDTHE0.png             0.0% [  1025/  1025] Stored
  Adding brightmaps/heretic/SDTHF0.png             0.0% [  1021/  1021] Stored
  Adding brightmaps/heretic/SDTHG0.png             0.0% [   728/   728] Stored
  Adding brightmaps/heretic/SDTHH0.png             0.0% [   418/   418] Stored
  Adding brightmaps/heretic/SOR2R1.png             0.0% [   298/   298] Stored
  Adding brightmaps/heretic/SOR2R2.png             0.0% [   333/   333] Stored
  Adding brightmaps/heretic/SOR2R3.png             0.0% [   256/   256] Stored
  Adding brightmaps/heretic/SOR2R4.png             0.0% [   309/   309] Stored
  Adding brightmaps/heretic/SOR2R5.png             0.0% [   354/   354] Stored
  Adding brightmaps/heretic/SOR2R6.png             0.0% [   320/   320] Stored
  Adding brightmaps/heretic/SOR2R7.png             0.0% [   232/   232] Stored
  Adding brightmaps/heretic/SOR2R8.png             0.0% [   310/   310] Stored
  Adding brightmaps/heretic/SOR2S1.png             0.0% [   386/   386] Stored
  Adding brightmaps/heretic/SOR2S2.png             0.0% [   329/   329] Stored
  Adding brightmaps/heretic/SOR2S3.png             0.0% [   234/   234] Stored
  Adding brightmaps/heretic/SOR2S4.png             0.0% [   376/   376] Stored
  Adding brightmaps/heretic/SOR2S5.png             0.0% [   423/   423] Stored
  Adding brightmaps/heretic/SOR2S6.png             0.0% [   377/   377] Stored
  Adding brightmaps/heretic/SOR2S7.png             0.0% [   228/   228] Stored
  Adding brightmaps/heretic/SOR2S8.png             0.0% [   357/   357] Stored
  Adding brightmaps/heretic/SOR2T1.png             0.0% [   425/   425] Stored
  Adding brightmaps/heretic/SOR2T2.png             0.0% [   367/   367] Stored
  Adding brightmaps/heretic/SOR2T3.png             0.0% [   279/   279] Stored
  Adding brightmaps/heretic/SOR2T4.png             0.0% [   299/   299] Stored
  Adding brightmaps/heretic/SOR2T5.png             0.0% [   393/   393] Stored
  Adding brightmaps/heretic/SOR2T6.png             0.0% [   269/   269] Stored
  Adding brightmaps/heretic/SOR2T7.png             0.0% [   282/   282] Stored
  Adding brightmaps/heretic/SOR2T8.png             0.0% [   378/   378] Stored
  Adding brightmaps/heretic/VLCOE0.png             1.7% [   171/   174] Deflate
  Adding brightmaps/heretic/WZRDC1.png             0.0% [   246/   246] Stored
  Adding brightmaps/heretic/WZRDC2C8.png           0.0% [   242/   242] Stored
  Adding brightmaps/heretic/WZRDC3C7.png           0.0% [   169/   169] Stored
  Adding brightmaps/heretic/WZRDC4C6.png           0.0% [   245/   245] Stored
  Adding brightmaps/heretic/WZRDC5.png             0.0% [   246/   246] Stored
  Adding brightmaps/heretic/WZRDD1.png             0.0% [   186/   186] Stored
  Adding brightmaps/heretic/WZRDD2D8.png           0.0% [   173/   173] Stored
  Adding brightmaps/heretic/WZRDD3D7.png           1.8% [   164/   167] Deflate
  Adding brightmaps/heretic/WZRDD4D6.png           1.2% [   160/   162] Deflate
  Adding brightmaps/heretic/WZRDD5.png             2.7% [   144/   148] Deflate
  Adding brightmaps/heretic/WZRDF0.png             0.0% [   218/   218] Stored
  Adding brightmaps/heretic/WZRDG0.png             0.0% [   386/   386] Stored
  Adding brightmaps/heretic/WZRDH0.png             0.0% [   443/   443] Stored
  Adding brightmaps/heretic/WZRDI0.png             0.0% [   501/   501] Stored
  Adding brightmaps/heretic/WZRDJ0.png             0.0% [   420/   420] Stored
  Adding brightmaps/heretic/WZRDK0.png             0.0% [   288/   288] Stored
  Adding brightmaps/hexen/CDLRA0.png               1.4% [   146/   148] Deflate
  Adding brightmaps/hexen/CDLRB0.png               1.3% [   149/   151] Deflate
  Adding brightmaps/hexen/CDLRC0.png               2.0% [   149/   152] Deflate
  Adding brightmaps/hexen/CENTF1.png               3.4% [   114/   118] Deflate
  Adding brightmaps/hexen/CENTF2.png               4.6% [   104/   109] Deflate
  Adding brightmaps/hexen/CENTF8.png               4.6% [   103/   108] Deflate
  Adding brightmaps/hexen/ICEYG1.png               0.0% [   341/   341] Stored
  Adding brightmaps/hexen/ICEYG2G8.png             0.0% [   281/   281] Stored
  Adding brightmaps/hexen/ICEYG3G7.png             0.0% [   233/   233] Stored
  Adding brightmaps/hexen/ICEYG4G6.png             0.0% [   201/   201] Stored
  Adding brightmaps/hexen/ICEYG5.png               1.3% [   149/   151] Deflate
  Adding brightmaps/hexen/MAGEF1.png               0.0% [   179/   179] Stored
  Adding brightmaps/hexen/MAGEF2.png               2.0% [   150/   153] Deflate
  Adding brightmaps/hexen/MAGEF3.png               0.0% [   177/   177] Stored
  Adding brightmaps/hexen/MAGEF4.png               3.3% [   147/   152] Deflate
  Adding brightmaps/hexen/MAGEF5.png               3.2% [   122/   126] Deflate
  Adding brightmaps/hexen/MAGEF6.png               3.5% [   136/   141] Deflate
